country_long,gender,age
Italy,Male,29
Italy,Female,28
Italy,Male,30
Italy,Female,35
Morocco,Female,27
Georgia,Male,30
Georgia,Male,31
Georgia,Male,28
Georgia,Male,27
Monaco,Male,30
Monaco,Male,24
Monaco,Male,19
Monaco,Female,25
Monaco,Female,36
Monaco,Female,25
Italy,Female,25
Italy,Female,33
Italy,Male,24
Italy,Male,26
Jamaica,Male,32
Germany,Female,29
Germany,Male,31
Germany,Female,30
Germany,Male,37
Germany,Female,29
Germany,Female,28
Germany,Male,34
Germany,Female,28
Germany,Female,32
Germany,Female,29
Germany,Female,31
Germany,Female,23
Germany,Female,25
Germany,Male,24
Germany,Female,23
Germany,Male,25
Germany,Male,24
Namibia,Female,31
France,Female,19
France,Male,40
France,Female,20
France,Male,21
France,Male,23
France,Female,22
France,Female,19
Jamaica,Female,25
Jamaica,Female,36
Jamaica,Female,32
Jamaica,Female,28
Morocco,Male,29
Jamaica,Female,32
Jamaica,Female,25
Jamaica,Female,31
Costa Rica,Male,30
Mexico,Male,27
Malaysia,Female,25
Croatia,Male,32
Georgia,Male,30
Cyprus,Female,32
Sweden,Female,31
Sweden,Female,28
Sweden,Female,27
Sweden,Female,28
Sweden,Female,28
Croatia,Male,31
Croatia,Male,36
Croatia,Female,33
Croatia,Female,28
Sweden,Female,34
Sweden,Female,29
Sweden,Female,30
Sweden,Female,33
Sweden,Female,26
Sweden,Female,32
Sweden,Female,27
Sweden,Female,22
Sweden,Female,26
Sweden,Female,28
Sweden,Female,22
Sweden,Female,33
Cyprus,Male,27
Uzbekistan,Female,21
Uzbekistan,Female,21
Cyprus,Female,16
Uzbekistan,Female,22
Kazakhstan,Female,26
Ireland,Female,25
Ireland,Female,31
Ireland,Female,23
Ireland,Female,35
Ireland,Female,25
Ireland,Male,30
Ireland,Female,43
Ireland,Male,36
Bulgaria,Male,28
Bulgaria,Male,21
Bulgaria,Male,24
Cyprus,Female,24
Bulgaria,Female,34
Bulgaria,Female,34
Morocco,Male,28
Morocco,Male,31
Bulgaria,Female,29
Jamaica,Female,30
Morocco,Male,22
Antigua and Barbuda,Male,22
Morocco,Female,28
Morocco,Male,26
Jamaica,Male,22
Morocco,Male,32
Morocco,Female,32
Chile,Male,20
Morocco,Male,29
Chile,Female,39
Morocco,Male,31
Cuba,Male,24
Niger,Male,19
Antigua and Barbuda,Male,22
Cuba,Male,31
Antigua and Barbuda,Female,16
Cuba,Male,35
Antigua and Barbuda,Male,29
Antigua and Barbuda,Female,22
Niger,Male,30
Mexico,Female,31
Ukraine,Male,31
Ukraine,Male,27
Ukraine,Male,26
Ukraine,Male,34
Ukraine,Female,39
Ukraine,Female,31
Uzbekistan,Female,23
Uzbekistan,Male,31
Uzbekistan,Male,24
Uzbekistan,Male,22
Ukraine,Male,23
Ukraine,Female,28
Libya,Female,18
Afghanistan,Female,21
Afghanistan,Female,28
Ukraine,Female,33
Ukraine,Female,25
Ukraine,Male,36
Afghanistan,Male,25
Ukraine,Male,28
Ukraine,Male,22
Ukraine,Male,24
Ukraine,Male,19
India,Female,28
India,Male,26
Romania,Male,24
Romania,Male,40
Romania,Male,27
Romania,Male,25
Romania,Male,23
